ID, OrganisationTime, SendingToWorkersTime, WorkersWorkingTime, TotalTime
0,0.294470,0.001506,0.271027,0.567766
1,0.425673,0.001594,0.235206,0.663218
2,0.404761,0.024149,0.378781,0.808234
3,0.306105,0.011915,0.226638,0.545190
4,0.128326,0.036090,0.172744,0.337905
5,0.273016,0.001104,0.139898,0.414765
6,0.284262,0.001706,0.298110,0.584824
7,0.184795,0.017432,0.156207,0.359368
8,0.258463,0.001551,0.230383,0.491158
9,0.343011,0.001893,0.400706,0.746366
10,0.330249,0.001559,0.224245,0.556813
11,0.180393,0.001479,0.163857,0.346487
12,0.303440,0.004596,0.240472,0.549279
13,0.332208,0.011853,0.311520,0.656377
14,0.137531,0.001710,0.177586,0.317585
15,0.391794,0.001365,0.219599,0.613515
16,0.213948,0.004910,0.327947,0.547582
17,0.282315,0.015971,0.233791,0.532838
18,0.498735,0.001558,0.302172,0.803103
19,0.311622,0.019343,0.232831,0.564450
20,0.448730,0.006571,0.288816,0.744903
21,0.289367,0.022066,0.147532,0.459753
22,0.405639,0.001556,0.239513,0.647455
23,0.439959,0.028197,0.192898,0.661815
24,0.288286,0.001143,0.219166,0.509341
25,0.274621,0.020603,0.235293,0.531066
26,0.282237,0.001723,0.382284,0.667097
27,0.357118,0.019666,0.246553,0.624208
28,0.432249,0.001566,0.315867,0.750227
29,0.220671,0.005609,0.110240,0.337275
30,0.190806,0.001498,0.089451,0.282401
31,0.237837,0.015142,0.212269,0.465995
32,0.322597,0.008108,0.208970,0.540439
33,0.300835,0.001387,0.222593,0.525665
34,0.539200,0.006375,0.291956,0.838371
35,0.387914,0.010255,0.161289,0.560298
36,0.401891,0.022086,0.352401,0.777135
37,0.569948,0.001740,0.369819,0.942266
38,0.415676,0.021174,0.202557,0.640153
39,0.309609,0.005680,0.206458,0.522514
40,0.267744,0.006430,0.188109,0.463093
41,0.286392,0.003077,0.134124,0.424458
42,0.164426,0.001028,0.177187,0.343663
43,0.241882,0.001691,0.135255,0.379597
44,0.271278,0.005709,0.297044,0.574792
45,0.299072,0.001143,0.253054,0.554019
46,0.464726,0.016400,0.260740,0.742710
47,0.344348,0.001672,0.217845,0.564623
48,0.275206,0.001674,0.141321,0.433890
49,0.286302,0.027389,0.168268,0.482819
50,0.499687,0.017565,0.251774,0.769644
51,0.325658,0.001017,0.222407,0.549829
52,0.533800,0.001567,0.336097,0.871996
53,0.422627,0.001515,0.240685,0.665425
54,0.318607,0.002947,0.311274,0.633386
55,0.291497,0.062879,0.210019,0.565278
56,0.246678,0.003964,0.245570,0.496994
57,0.541016,0.001666,0.260265,0.803806
58,0.237923,0.016084,0.233222,0.487996
59,0.439690,0.020179,0.201338,0.662105
60,0.736157,0.001551,0.393904,1.132391
61,0.288395,0.005404,0.287245,0.581789
62,0.416594,0.001377,0.157080,0.575819
63,0.438623,0.001589,0.235814,0.676787
64,0.539925,0.001483,0.293077,0.835263
65,0.268322,0.001254,0.219613,0.489937
66,0.480618,0.001220,0.241618,0.724322
67,0.305002,0.008831,0.252812,0.567398
68,0.324846,0.010804,0.176812,0.513219
69,0.383490,0.001499,0.253927,0.639665
70,0.441369,0.033637,0.324681,0.800459
71,0.319373,0.001491,0.172310,0.494030
72,0.221478,0.008635,0.088287,0.318993
73,0.224502,0.026259,0.196788,0.448296
74,0.446928,0.005832,0.313550,0.767054
75,0.418659,0.001686,0.176592,0.597470
76,0.322065,0.013717,0.188636,0.525274
77,0.216227,0.019298,0.241959,0.478103
78,0.364237,0.020232,0.270478,0.655716
79,0.208109,0.001689,0.280199,0.490779
80,0.302068,0.010444,0.396802,0.710134
81,0.427941,0.001548,0.368599,0.798848
82,0.312817,0.001704,0.181770,0.497051
83,0.337483,0.002396,0.217007,0.557633
84,0.272283,0.001484,0.272843,0.547392
85,0.291327,0.019426,0.234591,0.546050
86,0.387681,0.008020,0.270528,0.666976
87,0.340596,0.001436,0.150853,0.493647
88,0.310528,0.001135,0.224655,0.537069
89,0.209218,0.002472,0.305687,0.517969
90,0.316535,0.001708,0.273853,0.592891
91,0.201728,0.001564,0.143657,0.347711
92,0.262446,0.001488,0.175760,0.440439
93,0.212847,0.001301,0.235508,0.450459
94,0.252548,0.007511,0.248575,0.509345
95,0.251975,0.011945,0.310089,0.574754
96,0.341418,0.001481,0.113942,0.457585
97,0.425682,0.010767,0.254850,0.691897
98,0.415026,0.001697,0.342504,0.759996
99,0.228714,0.007739,0.312003,0.549254
